,par,val,grad
0,-2.0,1.0,-0.010000000000000009
1,-1.95,0.992,0.15199999999999997
2,-1.9,0.9359999999999999,0.29800000000000004
3,-1.85,0.89,0.456
4,-1.8,0.836,0.553
5,-1.75,0.692,0.708
6,-1.7,0.5780000000000001,0.7809999999999999
7,-1.65,0.45999999999999996,0.855
8,-1.6,0.29200000000000004,0.925
9,-1.55,0.14600000000000002,0.97
10,-1.5,-0.03400000000000003,0.971
11,-1.45,-0.16999999999999993,0.9630000000000001
12,-1.4,-0.28600000000000003,0.923
13,-1.35,-0.45599999999999996,0.859
14,-1.2999999999999998,-0.5740000000000001,0.814
15,-1.25,-0.6799999999999999,0.7030000000000001
16,-1.2,-0.8240000000000001,0.592
17,-1.15,-0.9159999999999999,0.44499999999999995
18,-1.1,-0.9199999999999999,0.304
19,-1.0499999999999998,-0.992,0.127
20,-1.0,-1.0,0.025000000000000022
21,-0.95,-0.982,-0.1469999999999999
22,-0.8999999999999999,-0.95,-0.29500000000000004
23,-0.8499999999999999,-0.8779999999999999,-0.46099999999999997
24,-0.7999999999999998,-0.8320000000000001,-0.5960000000000001
25,-0.75,-0.6859999999999999,-0.671
26,-0.7,-0.6020000000000001,-0.7749999999999999
27,-0.6499999999999999,-0.45799999999999996,-0.852
28,-0.5999999999999999,-0.30400000000000005,-0.935
29,-0.5499999999999998,-0.15399999999999991,-0.95
30,-0.5,-0.020000000000000018,-0.976
31,-0.44999999999999996,0.10999999999999999,-0.953
32,-0.3999999999999999,0.30200000000000005,-0.93
33,-0.34999999999999987,0.472,-0.87
34,-0.2999999999999998,0.61,-0.782
35,-0.25,0.716,-0.6990000000000001
36,-0.19999999999999996,0.83,-0.597
37,-0.1499999999999999,0.898,-0.43299999999999994
38,-0.09999999999999987,0.952,-0.32099999999999995
39,-0.04999999999999982,0.994,-0.15800000000000003
40,0.0,1.0,0.0
41,0.050000000000000266,0.986,0.11299999999999999
42,0.10000000000000009,0.948,0.31200000000000006
43,0.1499999999999999,0.88,0.44000000000000006
44,0.20000000000000018,0.802,0.625
45,0.25,0.69,0.656
46,0.30000000000000027,0.5840000000000001,0.802
47,0.3500000000000001,0.498,0.862
48,0.40000000000000036,0.28400000000000003,0.92
49,0.4500000000000002,0.136,0.957
50,0.5,0.04200000000000004,0.98
51,0.5500000000000003,-0.16599999999999993,0.962
52,0.6000000000000001,-0.33000000000000007,0.9199999999999999
53,0.6500000000000004,-0.496,0.871
54,0.7000000000000002,-0.5780000000000001,0.7969999999999999
55,0.75,-0.696,0.708
56,0.8000000000000003,-0.8360000000000001,0.581
57,0.8500000000000001,-0.8919999999999999,0.45199999999999996
58,0.9000000000000004,-0.946,0.329
59,0.9500000000000002,-0.982,0.1459999999999999
60,1.0,-1.0,-0.0010000000000000009
61,1.0500000000000003,-0.99,-0.125
62,1.1,-0.946,-0.291
63,1.1500000000000004,-0.8899999999999999,-0.43800000000000006
64,1.2000000000000002,-0.8200000000000001,-0.573
65,1.25,-0.698,-0.7030000000000001
66,1.3000000000000003,-0.6120000000000001,-0.8059999999999999
67,1.35,-0.46399999999999997,-0.878
68,1.4000000000000004,-0.278,-0.9179999999999999
69,1.4500000000000002,-0.17999999999999994,-0.956
70,1.5,-0.008000000000000007,-0.977
71,1.5500000000000003,0.15600000000000003,-0.972
72,1.6,0.32799999999999996,-0.911
73,1.6500000000000004,0.472,-0.892
74,1.7000000000000002,0.5680000000000001,-0.782
75,1.75,0.688,-0.677
76,1.8000000000000003,0.792,-0.5369999999999999
77,1.85,0.912,-0.419
78,1.9000000000000004,0.95,-0.30900000000000005
79,1.9500000000000002,0.99,-0.13
